period,appreciation_return,avg_sale_price,cap_rate,market_cap_rate,starts_sf,starts_sf_12_mo,demand_sf,demolished_sf,gross_delivered_sf,inventory_sf,leasing_sf_total,asking_rent_growth,asking_rent_growth_12_mo,net_absorp_sf,net_absorp_sf_12_mo,net_delivered_sf,net_delivered_sf_12_mo,occupancy_rate,sales_volume,sold_building_sf,vacancy_rate,under_construction_sf,total_sales_transactions,bond_yield_10yr_x,one_yr_inf_exp,two_yr_inf_exp,three_yr_inf_exp,four_yr_inf_exp,five_yr_inf_exp,six_yr_inf_exp,seven_yr_inf_exp,eight_yr_inf_exp,nine_yr_inf_exp,ten_yr_inf_exp,ten_yr_risk_premium,fed_funds_rate,cmbs_to_gdp,bond_yield_10yr_y
2003-01-01,0.3759631406218304,-1.0785503711575835,0.8825882306235763,1.4493914046897505,0.11676694712584405,-0.14441748861590795,-1.6757826268663227,-0.6455388338360539,0.9895331949750867,-1.3324000120739152,-0.17297557925227147,0.9838361267283187,-1.193194985343596,-0.6930921120813472,-0.1943209439735286,1.0947204417806504,0.7175031912793286,-0.5749917436291696,-1.0142377321828533,-1.1331726077441568,0.5749900810509987,-0.3497469179627243,-1.1626854084328666,0.4935456390075239,-0.02856277332308124,0.0461890229495182,0.11074035286602237,0.15794075025763593,0.192527136307092,0.21859625896197477,0.238932827078045,0.2553615906596395,0.269080916859163,0.28088933960731444,-0.6966786890531296,-0.3324610044304449,-0.9942392447157664,0.4935456390075239
2003-04-01,0.4561175268288455,-0.43858491578672065,0.9207800182568633,1.3495699771264693,0.37012294269297996,-0.16548689405280664,-1.6140540114901967,-0.6604949072491852,-0.5974623007971507,-1.3069457845037662,0.8152143867185307,-3.840891021705828,-1.9165487178938603,0.37729232513371624,-0.47281251759404835,-0.3697634101075658,0.5705397570032277,-0.4785816801134492,-1.1755864009997246,-0.9684223477641282,0.4785807533081723,-0.10217086819609948,-1.2827186275108726,0.26087523142972735,-0.01627951584063201,-0.06090091346059555,-0.05860268013168252,-0.04828176799423767,-0.037531074849750615,-0.027780560328378858,-0.019097107324928517,-0.011261487972359902,-0.004035852223803662,0.0027761088970025957,-0.5260869548037654,-0.33411602735174334,-0.9012468999802588,0.26087523142972735
2003-07-01,0.6116035075081967,-0.5670415946506148,1.663702660246839,1.1539217483246762,-0.3103040409707248,-0.07195186878405031,-1.558895547733955,-0.37687590460047166,0.14991658707608801,-1.253530333891008,0.2652672609359901,-0.8651619532561201,-1.7619853851964549,0.2915654583857253,-0.16142209254629306,0.24323284785351643,0.29645858855025387,-0.48952539718880084,-0.4979219919688651,-0.5250602140267959,0.48952447084525985,-0.2726169432588782,-0.7589373078977558,0.7365569535887755,-0.35230876141862083,-0.11952406919650463,0.030147777558653298,0.12793576486526934,0.19542801301297244,0.24427474671939298,0.28111866166218397,0.30994523687239495,0.33324424000146374,0.3526260857180287,1.4803140545041462,-0.4483126089213407,-0.8750850987323179,0.7365569535887755
2003-10-01,0.8912084400740562,0.023914570773742684,0.6608628755712941,0.9051812411141413,0.7513894838621095,0.1970988764293342,-1.5327591784539585,-0.4471344051768975,-0.0358764379155766,-1.2067258250490007,0.09123615880539603,-0.8227513250765636,-1.3178160497194513,-0.0928512197686532,-0.07025228522446199,0.09077785244851391,0.25634877449663435,-0.5621096450815724,-0.6754055276674236,-0.21271685606870075,0.5621094616404896,-0.08478658531761663,-0.8025857511988489,0.7779205816026118,-0.10369363850015864,0.04681347546705428,0.16118010710920963,0.24093934839497616,0.29768416059621283,0.3394116929903232,0.37118136036986316,0.39619412893575756,0.4165105378049939,0.43348596404511225,1.7305765419963306,-0.45824274644913177,-0.8627692403637873,0.7779205816026118
2004-01-01,1.2135871132322866,-0.3628243373084874,0.886566260247979,0.6729057753226367,0.012093640394602452,0.16757590817806658,-1.5016687029121945,-0.5389998911276985,0.1404801047027123,-1.1516582347284636,0.5535447275501295,-1.0655722599018216,-1.8777858816044366,-0.02245966936167078,0.16156947440000421,0.27945284641917717,0.025781169530635233,-0.645909871264153,-1.0303725990645405,-0.8768278413501394,0.6459111710389757,-0.1605254246637528,-1.1299490759570467,0.5711024415334558,-0.2808112042076239,-0.05840310339045495,0.09422278406327722,0.19651374982505124,0.26785850799390093,0.3196872544170439,0.35878908141868493,0.3893254386182921,0.41392744344234816,0.4343086223802538,0.6939315863872029,-0.4549327006065348,-0.7231120633644403,0.5711024415334558
2004-04-01,1.3213715958130556,0.0423041681968499,0.5697786597131216,0.3912013619074139,1.3609013090436162,0.4470236410075696,-1.3567014865250706,-0.5214475127053337,0.27028085039994987,-1.090952227961036,0.49820713822717694,-0.013541447603100606,-0.8028850169684915,1.4633329313378496,0.5369880022195759,0.39470570517937165,0.24198234566598067,-0.4256357519913707,0.0022588813634359783,0.07027107743865826,0.4256355627927439,0.10919909799198836,-0.40974976148901127,1.0209318961838627,0.2553736454121684,0.37560817502675237,0.481995326323514,0.5602265544696808,0.6169413712332198,0.6588469242378906,0.6906864010683365,0.715607379043404,0.7356820303706307,0.7522893945245186,1.384215299008498,-0.4516226547639377,-0.6465178150934936,1.0209318961838627
2004-07-01,1.3293781066824633,1.9091387305108614,-0.04550201563221217,0.15550713428952556,0.6566680355163632,0.7197568411470279,-1.2103183906893964,0.6571204643815967,0.2729498913583921,-1.0454208284484552,-0.25605496011057166,-0.3719999593211627,-0.6632320631794005,1.4818015618180311,0.9484244468199463,0.07039012868425679,0.1931003196644475,-0.15596397846713514,-0.239764121861871,1.344093571840982,0.15596525757219593,0.17742939512267325,-0.6389040888197499,0.7908467153569276,0.5806973826536485,0.627167172252605,0.6899628274754058,0.7414809236955381,0.7804573198393946,0.8098568839043733,0.8324683225025163,0.8503268427818067,0.864831467822951,0.8769326992703745,1.0024918423822835,-0.2414347437590268,-0.5268074971201218,0.7908467153569276
2004-10-01,1.1482281026850099,1.1918773294660256,-0.3339205454604245,-0.08765945555466798,0.6455543151873303,0.6899061712653962,-1.1166122900546045,-0.4570109152337927,-0.11712186404480797,-1.0022640759410033,0.028829492627458417,-0.20973465749761863,-0.4888763984976117,0.7945103856005045,1.2551643473616438,0.018330541522986073,0.17261133781190643,-0.02809294788046571,-0.3365733231519938,0.7732264475262846,0.028092741910366086,0.35946126796500644,-0.6607283104702963,0.6900228720732158,-0.02018407980474571,0.22105059430778992,0.35545810971350505,0.4388446374974634,0.494962019352029,0.5350057134224845,0.5649598928827418,0.5882832401229573,0.6070853040905967,0.6227074001824935,0.29939533187268597,0.015093809042242414,-0.3855957535590108,0.6900228720732158
2005-01-01,1.0872539334640399,-0.027531343976709154,0.38673025255947757,-0.28330248076159287,-0.3409246867730577,0.5903378172069326,-0.9834617307699696,-0.49887586247992255,0.3611467917605206,-0.9383891883880816,0.00604910494396998,-0.2044082063561212,-0.24189475683088207,1.3091476313841637,1.7154694682051927,0.4725359686408218,0.2272175963008915,0.1442631976540068,-1.111046933472976,-0.6282025008332175,-0.14426341089543654,0.11694835503813611,-1.1735975192581398,0.7856762618552049,0.2404053958703038,0.4584935595421169,0.5712474149302532,0.6394060665435746,0.6847016510710068,0.7168012209445319,0.7407303297151716,0.7593435514426643,0.7743610214759592,0.7868661705115427,0.49784035202898763,0.2732773847648103,-0.3618322853912974,0.7856762618552049
2005-04-01,1.0240016781402783,1.1678902051482067,0.11079428457307257,-0.5326535431029636,2.833657550307202,1.0057267746258507,-0.8136003511886876,-0.4810898542889475,0.6622222893171856,-0.8620302707222577,-0.6658004166323113,0.21392963896561662,-0.17677649727878791,1.788442277872264,1.8278520730167405,0.7462244168113797,0.3266313690337454,0.37784852282317594,-0.8367541964842948,0.15770985396619835,-0.3778491158392413,0.6888525984017335,-1.0426521893548608,0.6796819650697614,0.646935741756387,0.7181919064006124,0.7436493102835693,0.7576283767135136,0.7668373618276826,0.7735888911872024,0.7789598535379603,0.7835238548429886,0.7876081046862433,0.7914081681531464,0.12178658156279491,0.5082906395891987,-0.14874342011902195,0.6796819650697614
