period,appreciation_return,availability_rate,available_df_direct,avg_sale_price,cap_rate,market_cap_rate,starts_sf,starts_sf_12_mo,demand_sf,demolished_sf,gross_delivered_sf,inventory_sf,leasing_sf_total,asking_rent_growth,asking_rent_growth_12_mo,net_absorp_sf,net_absorp_sf_12_mo,net_delivered_sf,net_delivered_sf_12_mo,occupancy_rate,sales_volume,sold_building_sf,vacancy_rate,under_construction_sf,total_sales_transactions,bond_yield_10yr_x,one_yr_inf_exp,two_yr_inf_exp,three_yr_inf_exp,four_yr_inf_exp,five_yr_inf_exp,six_yr_inf_exp,seven_yr_inf_exp,eight_yr_inf_exp,nine_yr_inf_exp,ten_yr_inf_exp,ten_yr_risk_premium,fed_funds_rate,cmbs_to_gdp,bond_yield_10yr_y,availability
2003-01-01,2.08319034427404,,,1465010.0,9.34333354234695,9.45458859205246,1052096.0,3577125.0,241753088.0,3969.0,1939713.0,282288682,3972696.0,1.3413674198091001,-2.46449913829565,-331180.0,1545268.0,1935744.0,6126144,85.6403708457947,94.0,1514560.0,14.3596261739731,4359333.0,96.0,3.92,2.0296309666666668,2.0179548,2.0356775666666667,2.0584884000000003,2.0819394,2.1049419,2.1272088666666673,2.1486807,2.1693667333333333,2.1892966333333335,1.1753487999999999,1.25,12.369277283267447,3.92,
2003-04-01,2.63705756515265,,,2990973.0,9.383333474397661,9.36883315443993,1265359.0,3514245.0,242759664.0,0.0,534093.0,282822775,5631031.0,-3.34023647010326,-4.92611341178417,1006581.0,538380.0,534093.0,5628789,85.8345508575439,84.0,2016296.0,14.1654476523399,5090599.0,85.0,3.62,2.0375917,1.960086966666667,1.9494133666666666,1.9570156,1.9718039,1.989887,2.0095370666666668,2.0298743,2.0504107333333335,2.070860666666667,1.1876599666666667,1.2466666666666668,12.517539919061353,3.62,
2003-07-01,3.7114664912223803,,,2684675.0,10.1614288985729,9.200754016637799,692608.0,3793393.0,243659104.0,75266.0,1196055.0,283943564,4708135.0,-0.45278100296855,-4.4001255184412,899440.0,1664214.0,1120789.0,4701241,85.81250905990599,126.0,3366526.0,14.1874894499779,4587152.0,133.0,4.23333333333333,1.8198124,1.9284089666666666,1.9946232999999998,2.0437243,2.083328133333333,2.1169334333333336,2.1464472666666663,2.173003,2.1973130666666663,2.2198461000000003,1.3324567666666667,1.0166666666666666,12.559251068738977,4.23333333333333,
2003-10-01,5.64353801310062,,,4093778.0,9.11111086606979,8.98706391453743,1586291.0,4596354.0,244085296.0,56621.0,1031496.0,284925639,4416084.0,-0.411628466099501,-2.8885917738080003,418998.0,1993839.0,974875.0,4565501,85.6663167476654,115.0,4317747.0,14.3336832523346,5141947.0,129.0,4.286666666666671,1.9809389333333334,2.0182922333333337,2.0613718333333333,2.099328266666667,2.1322811,2.1613612,2.1875194000000002,2.2114352333333334,2.2335797,2.2542807,1.3505175666666667,0.9966666666666667,12.578886896064079,4.286666666666671,
2004-01-01,7.8711763024330095,,,3171620.0,9.34749990701675,8.787518739700321,963987.0,4508245.0,244592272.0,32242.0,1187697.0,286081094,5191909.0,-0.6472462322562931,-4.79420125484467,506973.0,2831992.0,1155455.0,3785212,85.4975342750549,93.0,2295241.0,14.502468705177298,4918237.0,99.0,4.02,1.8661496999999998,1.9614366999999997,2.0272634333333333,2.0774684333333333,2.1180027,2.152150133333333,2.181868033333333,2.208374566666667,2.2324546333333335,2.2546310333333333,1.2757055666666666,1.0033333333333332,12.801549753187983,4.02,
2004-04-01,8.61596763134003,,,4137627.0,9.015714377164839,8.5455097258091,2099349.0,5342235.0,246956176.0,36900.0,1302663.0,287354857,5099044.0,0.373576581478119,-1.13625191152096,2363909.0,4189320.0,1265763.0,4516882,85.9411895275116,157.0,5179568.0,14.0588104724884,5714923.0,165.0,4.6,2.2136490999999996,2.1959619333333333,2.224796733333333,2.2564351,2.2851187333333334,2.3105334666666666,2.3332262666666668,2.3537647666666666,2.3725948333333333,2.3900448,1.3255215666666667,1.01,12.923668032575417,4.6,
2004-07-01,8.67129266262054,,,8588993.0,8.37130397558212,8.343027532100681,1506559.0,6156186.0,249343168.0,349665.0,1305027.0,288310219,3833276.0,0.0257515726843849,-0.661004893481731,2386991.0,5676871.0,955362.0,4351455,86.4843368530273,142.0,9058910.0,13.5156661272049,5916455.0,144.0,4.303333333333329,2.4244902,2.3318960333333334,2.3307364333333336,2.3456221999999998,2.363398533333333,2.381053233333333,2.3978843999999997,2.4137953333333333,2.4288458666666664,2.4431248,1.2979735666666665,1.4333333333333333,13.114528552599294,4.303333333333329,
2004-10-01,7.41954520344734,,,6878722.0,8.06923061609268,8.13412591814995,1497204.0,6067099.0,250871184.0,54000.0,959536.0,289215755,4311356.0,0.183203350752592,-0.06766255828551951,1528018.0,6785891.0,905536.0,4282116,86.7418825626373,136.0,7320372.0,13.2581174373627,6454123.0,142.0,4.173333333333329,2.035061166666667,2.1124441666666662,2.1603380333333333,2.196708533333333,2.2267237,2.2527011666666668,2.275890033333333,2.2970295333333333,2.3165845333333333,2.3348616333333334,1.2472329,1.95,13.339669937785049,4.173333333333329,
2005-01-01,6.99821338057518,,,3971108.0,8.823999762535099,7.96605125069618,666833.0,5769945.0,253042400.0,42890.0,1383144.0,290556009,4273127.0,0.188371795229614,0.772830145433545,2171209.0,8450127.0,1340254.0,4466915,87.08902597427371,88.0,3052413.0,12.910974025726299,5737812.0,95.0,4.29666666666667,2.203948233333333,2.240750433333333,2.2702622000000003,2.2953957666666667,2.3175575333333334,2.3375974000000004,2.356048266666667,2.3732534666666667,2.389441466666667,2.4047694999999996,1.2615541666666668,2.47,13.37755729761204,4.29666666666667,
2005-04-01,6.56113997101784,0.138337,37908730.0,6821526.0,8.53499993681908,7.751836627721791,3339045.0,7009641.0,255812240.0,47610.0,1649810.0,292158209,3145660.0,0.594299845397472,0.9944313205778601,2770229.0,8856447.0,1602200.0,4803352,87.55949139595029,105.0,5445857.0,12.4405078589916,7427047.0,107.0,4.16,2.467419033333333,2.3810827666666663,2.3580845999999998,2.3535676333333333,2.3568782666666666,2.3641165333333336,2.3734824333333333,2.3840281333333335,2.3952112333333333,2.4067037333333334,1.2344153333333334,2.9433333333333334,13.717296196695166,4.16,13.833699999999999
2005-07-01,6.54494762420654,0.137532,38248328.0,5674727.0,7.37800002098083,7.656446099281309,1936386.0,7439468.0,257388416.0,254344.0,1482482.0,293386347,3332084.0,0.183370837476104,1.15357702597976,1665161.0,8134617.0,1228138.0,5076128,87.7301931381226,141.0,7050220.0,12.2698068618774,7880951.0,143.0,4.213333333333329,2.3831456666666666,2.3698767999999997,2.356818366666667,2.3516206,2.352469833333333,2.357352333333333,2.3648303333333334,2.3739483666666668,2.3840792,2.3948087666666664,1.1776610333333333,3.4599999999999995,13.933918309575807,4.213333333333329,13.7532
2005-10-01,5.622939020395281,0.134935,37660892.0,6405518.0,8.39499980211258,7.554908841848371,1752203.0,7694467.0,258402640.0,2800.0,1426071.0,294809618,3596389.0,0.612788274884224,1.58732291311026,1014237.0,7620836.0,1423271.0,5593863,87.6506865024567,144.0,6578556.0,12.3493164777756,8207083.0,151.0,4.49,3.0418845666666665,2.789655466666667,2.684700666666667,2.629321233333333,2.5978141333333333,2.5797263666666668,2.5698165666666664,2.565147433333333,2.5639556,2.5651291000000005,1.2466591333333332,3.98,14.321936229736501,4.49,13.4935
2006-01-01,4.07778844237328,0.135896,38022602.0,5340912.0,7.68999978899956,7.51281604170799,1304000.0,8331634.0,259831120.0,94063.0,2126614.0,296931071,3044691.0,0.491363136097789,1.8945449963212,1342607.0,6792234.0,2032551.0,6286160,87.5055313110352,136.0,5631513.0,12.4944671988487,7384469.0,145.0,4.57,2.2265568333333334,2.3713146333333333,2.4043556666666666,2.4181345333333337,2.4281721666666667,2.437815666666667,2.447740533333333,2.457968933333333,2.4683818,2.4788540999999995,1.2664475,4.456666666666667,14.527338453257407,4.57,13.589599999999999
2006-04-01,3.27459685504436,0.133156,37633860.0,5036896.0,6.520000100135801,7.46981278061867,2257298.0,7249887.0,261232704.0,18298.0,749436.0,297662209,3880273.0,0.818840321153402,2.12198775261641,1430395.0,5452400.0,731138.0,5415098,87.7614617347717,176.0,7219133.0,12.2385397553444,8892331.0,184.0,5.07,2.7702709666666667,2.720729766666667,2.686740133333333,2.666109233333333,2.6543745999999997,2.6484217333333335,2.6462493,2.6465788666666668,2.6485839,2.6517204999999997,1.2867238,4.906666666666667,14.823014254486736,5.07,13.3156
2006-07-01,2.5983078405261,0.13127,37316096.0,13124837.0,7.15375021100044,7.3975674808025405,1096612.0,6410113.0,262640480.0,0.0,1639419.0,299301628,3307808.0,0.422144355252385,2.3653816431760797,1407771.0,5195010.0,1639419.0,5826379,87.7511024475098,123.0,8054221.0,12.2488990426064,8349524.0,135.0,4.89666666666667,2.7729631,2.7142955,2.6715180666666667,2.6447062000000003,2.628834166666667,2.6201574,2.6162212333333335,2.6154436999999997,2.6167969666666666,2.6196023666666663,1.2364649666666667,5.246666666666667,15.226606878003382,4.89666666666667,13.126999999999999
2006-10-01,3.04621905088425,0.131741,37393288.0,14050275.0,7.39857107400894,7.35355988144875,2466166.0,7124076.0,264199760.0,145245.0,916411.0,300072794,4096996.0,0.8706848137080669,2.62777060270309,1559285.0,5740058.0,771166.0,5174274,88.0452215671539,202.0,17858844.0,11.954777687788,9899279.0,219.0,4.63,2.0930832666666666,2.2958294,2.334969966666667,2.347176333333333,2.3549992000000004,2.3630672,2.372160433333333,2.382166133333333,2.3928107333333335,2.403842566666667,1.1873201333333334,5.246666666666667,15.636743601651334,4.63,13.1741
2007-01-01,2.64147762209177,0.135513,38437181.0,8377230.0,8.7714284658432,7.33053535223007,1141867.0,6961943.0,266645824.0,96578.0,3350557.0,303326773,2741946.0,1.52208339422941,3.6804035305976903,2446058.0,6843509.0,3253979.0,6395702,87.9071176052094,165.0,10785860.0,12.0928846299648,7690589.0,195.0,4.68,2.7070377666666663,2.630287766666667,2.5783013333333336,2.5466029333333333,2.5283315666666666,2.5187747,2.514917366666667,2.5148366333333336,2.5172903333333334,2.5214612333333335,1.2111116333333334,5.256666666666667,15.752187500945261,4.68,13.5513
2007-04-01,1.7521318048238799,0.137697,39634647.0,7306245.0,7.76533335447311,7.3740765452384895,2063227.0,6767872.0,268202576.0,112770.0,2336397.0,305550400,2927009.0,1.32687464356422,4.202857613563539,1560428.0,6973542.0,2223627.0,7888191,87.7768695354462,148.0,7536865.0,12.2231304645538,7417419.0,170.0,4.84666666666667,2.9524565666666667,2.751399533333333,2.661471933333333,2.612605733333333,2.5846223000000004,2.568733033333333,2.5603346333333334,2.5567770666666667,2.5564426,2.5583009333333333,1.2293300666666667,5.25,16.082709430483728,4.84666666666667,13.769700000000002
2007-07-01,-0.548982620239258,0.136635,39861150.0,7611841.0,7.62636363506317,7.44232684373856,2634802.0,8306062.0,269909792.0,133870.0,1262649.0,306679179,2545279.0,1.03121744468808,4.83486130833626,1707202.0,7272973.0,1128779.0,7377551,88.0104660987854,127.0,6371843.0,11.989533156156499,8789572.0,165.0,4.73,2.6139644,2.5649212666666665,2.5312109,2.5118317,2.5021026,2.4986413666666665,2.4992533,2.5025314000000005,2.507565233333333,2.5137561333333336,1.2390062333333332,5.073333333333333,16.49891991392269,4.73,13.6635
2007-10-01,-3.72914895415306,0.142241,41380271.0,4900192.0,7.827500253915789,7.6103188097477,932290.0,6772186.0,270710720.0,43115.0,2537845.0,309173909,3559269.0,1.0066039860248601,4.97612208127975,774364.0,6488052.0,2494730.0,9101115,87.5593662261963,138.0,4748162.0,12.4406330287457,7184017.0,177.0,4.26,2.4892767,2.3981634,2.3477957,2.3208257666666667,2.3080169666666666,2.3040328,2.3056639333333333,2.3109230666666662,2.318547933333333,2.3277174333333335,1.1455361333333334,4.496666666666667,16.735054663053315,4.26,14.2241
2008-01-01,-7.59959146380424,0.148383,43170430.0,2539808.0,8.05777758359909,7.815239578485491,1307921.0,6938240.0,271171456.0,234011.0,1352768.0,310310866,3296556.0,0.757985282689333,4.18602712452412,457661.0,4499655.0,1118757.0,6965893,87.3870253562927,136.0,2510313.0,12.612971663475001,7139170.0,179.0,3.66333333333333,2.232695066666667,2.0862322333333334,2.0315730666666667,2.010034066666667,2.0049190666666665,2.0090309,2.018630566666667,2.0315819,2.046591933333333,2.0628457,1.116966,3.1766666666666663,17.047050774288277,3.66333333333333,14.838299999999998
2008-04-01,-11.894407868385299,0.156151,45558931.0,3768185.0,8.191875368356701,8.11128541827202,855276.0,5730289.0,271576576.0,50980.0,1784996.0,312044882,3074463.0,0.346421939320862,3.17790918052197,405135.0,3344362.0,1734016.0,6476282,87.0312571525574,141.0,3347516.0,12.968744337558698,6209450.0,162.0,3.88666666666667,2.344286433333333,2.170385666666667,2.1223177333333334,2.1091268,2.1101746,2.118224533333333,2.1300518,2.1440005666666666,2.1591393333333335,2.1749102000000002,1.1956405333333333,2.0866666666666664,17.132357229571614,3.88666666666667,15.615100000000002
2008-07-01,-16.3521334528923,0.163479,48004149.0,7445420.0,8.11111107468605,8.4260955452919,323287.0,3418774.0,269888544.0,582479.0,1130993.0,312593396,4046540.0,0.448326440528035,2.5826329365372698,-1688044.0,-50884.0,548514.0,5896017,86.33852601051329,137.0,7359084.0,13.6614724993706,5401744.0,180.0,3.86333333333333,2.9108299333333334,2.5061607,2.3757349333333333,2.3199151666666666,2.2944061000000002,2.2840127333333333,2.282080933333333,2.2852318666666664,2.291572633333333,2.299965966666667,1.1850439666666668,1.9400000000000002,17.176187474071245,3.86333333333333,16.347900000000003
2008-10-01,-20.4643592238426,0.162604,46876347.0,1385084.0,8.16999971866608,8.859133720397951,590564.0,3077048.0,270154368.0,2143650.0,1135231.0,311584977,3801058.0,-0.699803978204727,0.8495993912219999,265831.0,-559417.0,-1008419.0,2392868,86.7032706737518,109.0,1477502.0,13.2967293262482,4857077.0,144.0,3.25333333333333,0.8916023766666666,1.36244976,1.5322746333333332,1.6270289666666666,1.6933151,1.745767466666667,1.7902723666666664,1.8296197,1.8653018666666668,1.8981964666666666,1.2077181666666668,0.5066666666666667,17.67618467123519,3.25333333333333,16.2604
2009-01-01,-23.040996491909,0.171885,49072610.0,705853.0,7.61666670441628,9.202290326356891,279460.0,2048587.0,270156128.0,190289.0,659128.0,312053816,4304834.0,-1.23285111039877,-1.14304712042212,1777.0,-1015301.0,468839.0,1742950,86.5735769271851,66.0,682788.0,13.4264260530472,4477409.0,95.0,2.73666666666667,0.12484796666666668,0.8454014433333333,1.1086895499999998,1.2542790666666666,1.3537895,1.4303976,1.4937250999999998,1.5484627,1.597174833333333,1.6413906666666669,1.1592971333333333,0.18333333333333335,17.8642540847412,2.73666666666667,17.1885
2009-04-01,-23.624379932880398,0.174964,49887216.0,1119938.0,,9.424178302288059,352569.0,1545880.0,267882064.0,2200.0,494706.0,312546322,3775594.0,-1.2403872795403,-2.7063028886914298,-2301383.0,-3721819.0,492506.0,501440,85.70955991745,73.0,1120696.0,14.290441572666198,4335272.0,85.0,3.31333333333333,1.2668979333333332,1.4669993000000001,1.5589620333333332,1.6214329666666667,1.6713821666666666,1.7145080333333333,1.7532772666666667,1.7889444333333333,1.8222245333333336,1.8535621666666668,1.1989376333333333,0.18000000000000002,17.825804402347615,3.31333333333333,17.4964
2009-07-01,-21.1078763008118,0.179629,51593677.0,748491.0,9.00000035762787,9.52480211853981,435622.0,1658215.0,267279136.0,118058.0,1671608.0,314099872,2985698.0,-1.45615627989173,-4.55097444355488,-597513.0,-2631288.0,1553550.0,1506476,85.0936830043793,91.0,881938.0,14.906318485736799,3099286.0,107.0,3.51666666666667,1.9791925,1.9017183,1.9050025333333336,1.9246885000000002,1.9485738666666665,1.9733629666666666,1.9979856333333335,2.0220609666666665,2.0454509,2.0681111,1.2164876333333334,0.15666666666666665,17.579256305089903,3.51666666666667,17.9629
2009-10-01,-15.864732861518899,0.182651,52644525.0,761328.0,8.44999998807907,9.46333184838295,103285.0,1170936.0,265923264.0,155745.0,286878.0,314231005,3993099.0,-1.64293050765991,-5.45752346515656,-1355875.0,-4252994.0,131133.0,2646028,84.6266806125641,94.0,1068515.0,15.373319387435899,2915693.0,123.0,3.46,1.7406669,1.7227032999999998,1.7496018000000002,1.7829123666666664,1.8162014,1.8481722000000003,1.8786412,1.9076842999999999,1.9354239333333332,1.9619755333333335,1.1786048666666666,0.12,17.11061630308788,3.46,18.2651
2010-01-01,-8.29299613833427,0.185589,54156569.0,944126.0,9.41333323717117,9.24781486392021,461007.0,1352483.0,265787312.0,289898.0,2361924.0,316303031,4006538.0,-1.5599231235683,-5.77060543000698,-136130.0,-4390901.0,2072026.0,4249215,84.0293288230896,64.0,789756.0,15.9706711769104,1014776.0,81.0,3.71666666666667,1.7991717333333335,1.7860983333333333,1.8192857333333337,1.8568213,1.892553766666667,1.9257144,1.9565254666666667,1.9853406666666666,2.0124683333333335,2.0381484333333333,1.2867493333333335,0.13333333333333333,16.831761895505533,3.71666666666667,18.5589
2010-04-01,-0.697884941473603,0.18751,55087577.0,957175.0,8.90500023961067,8.97671282291412,58933.0,1058847.0,265511696.0,168203.0,64820.0,316199648,3721647.0,-0.600350461900234,-5.15992790460587,-273239.0,-2362757.0,-103383.0,3653326,83.9696407318115,123.0,1392334.0,16.030362248420698,1008889.0,152.0,3.49,1.5011275999999998,1.6307395333333332,1.7097168666666667,1.7689479666666668,1.8173754666666666,1.8589910333333335,1.8959364000000003,1.9294741,1.9603956333333334,1.9892216333333335,1.2746605666666666,0.19333333333333336,16.27954993637265,3.49,18.751
2010-07-01,5.368099734187131,0.18837,55752153.0,1347173.0,6.72333315014839,8.767912536859509,386473.0,1009698.0,265011968.0,24945.0,66693.0,316241396,4503565.0,-1.3397874310612699,-5.04793263971806,-499739.0,-2264983.0,41748.0,2141524,83.8005304336548,85.0,1859490.0,16.199471056461302,1328669.0,140.0,2.78666666666667,1.0703518833333334,1.258806,1.3505314999999998,1.4156971333333332,1.4694070666666665,1.5167338000000001,1.5598780666666667,1.5999642666666665,1.6376379666666667,1.6733046666666667,1.1658126666666666,0.18666666666666668,15.852537976979592,2.78666666666667,18.837
2010-10-01,8.69213715195656,0.188108,55807665.0,943856.0,10.5999998748302,8.54879692196846,51135.0,957548.0,265667712.0,36463.0,246063.0,316450996,3379352.0,-0.527490908280015,-3.97110842168331,655755.0,-253353.0,209600.0,2219991,83.95224809646609,122.0,2016095.0,16.0477548837662,1133741.0,140.0,2.86333333333333,1.4184570333333333,1.3796228666666668,1.3889087666666666,1.4124301,1.4417368666666666,1.4736053666666666,1.5065098333333333,1.5396408666666668,1.5725404333333335,1.6049399333333336,1.1505957333333334,0.18666666666666668,15.570966056704497,2.86333333333333,18.8108
2011-01-01,9.071385115385059,0.189145,56198469.0,2291512.0,9.32428538799286,8.37586149573326,74278.0,570819.0,265039504.0,182953.0,58933.0,316326976,4492803.0,-0.759907346218824,-3.1906880438327803,-628215.0,-745438.0,-124020.0,23945,83.7865650653839,117.0,1765787.0,16.2134364247322,1149086.0,154.0,3.46,1.9503891999999998,1.8732640666666664,1.869318933333333,1.8824193,1.9008471000000002,1.9210497666666666,1.9416884666666665,1.962187333333333,1.9822781,2.0018306333333333,1.2533921000000001,0.15666666666666668,15.364264009492787,3.46,18.9145
2011-04-01,8.10002237558365,0.188807,56418568.0,2367444.0,10.327272862196,8.26174169778824,94932.0,606818.0,265124704.0,59467.0,401639.0,316669148,4458580.0,-0.197037612088025,-2.79788542538881,126301.0,-345898.0,342172.0,469500,83.72293710708621,119.0,4400618.0,16.2770628929138,842379.0,157.0,3.21,2.1619145666666664,1.9704225333333336,1.9271796666666663,1.9210888666666666,1.9283114333333333,1.9412582,1.9568739000000002,1.9737308999999998,1.9910908333333335,2.0085433333333333,1.2017285333333334,0.09333333333333334,14.961755840689198,3.21,18.8807
2011-07-01,6.887161731719969,0.187385,56134629.0,2701218.0,8.51142853498459,8.13137218356133,42424.0,262769.0,265280336.0,35931.0,57025.0,316690242,5110079.0,-0.6276242434978491,-2.09624730050564,155462.0,309303.0,21094.0,448846,83.7665021419525,101.0,4417158.0,16.233499348163598,827778.0,132.0,2.42666666666667,1.6508462666666668,1.5916184666666666,1.5917333000000002,1.6080593666666667,1.6305228333333335,1.6555741000000002,1.681637,1.7079132666666668,1.7339668333333331,1.7595493666666666,1.1694258333333332,0.08333333333333333,14.69387794228921,2.42666666666667,18.7385
2011-10-01,5.976816639304159,0.186731,56460208.0,4664994.0,9.57692340016365,7.98328742384911,1670267.0,1881901.0,265455920.0,197210.0,54222.0,316547254,3921086.0,0.174479314591736,-1.40534760430455,106796.0,-239656.0,-142988.0,96258,83.8598072528839,164.0,7875239.0,16.1401942372322,2443823.0,218.0,2.04666666666667,1.5608402666666668,1.4640294999999999,1.4487936333333333,1.4579278666666666,1.4773325,1.5017048666666666,1.5285419333333332,1.5565055666666667,1.5848268000000003,1.6130442666666664,1.1623221666666665,0.07333333333333335,14.442043902956012,2.04666666666667,18.6731
